Year,Port_Country,Total_Air_Routes,Total_Flights,Service_Region
2017,China,17,16137,NE Asia
2017,Cook Islands,1,103,Islands
2017,Fiji,2,5800,Islands
2017,Hong Kong (SAR),1,12032,NE Asia
2017,India,1,729,S Asia
2017,Indonesia,2,16851,SE Asia
2017,Japan,2,6021,NE Asia
2017,Malaysia,2,11506,SE Asia
2017,Mauritius,1,280,Africa
2017,Nauru,1,319,Islands
2017,New Caledonia,1,1290,N America
2017,New Zealand,5,46975,S America
2017,Papua New Guinea,1,3903,Islands
2017,Philippines,1,3332,SE Asia
2017,Qatar,1,2727,Middle East
2017,Singapore,1,25445,SE Asia
2017,Solomon Is.,1,649,Islands
2017,South Africa,1,1348,Africa
2017,South Korea,1,1946,NE Asia
2017,Sri Lanka,1,126,S Asia
2017,Taiwan,1,1815,NE Asia
2017,Thailand,2,6716,SE Asia
2017,Tonga,1,208,Islands
2017,United Arab Emirates,2,13890,Middle East
2017,United Kingdom,1,2144,Europe
2017,United States of America,5,12075,N America
2017,Vanuatu,2,1265,Islands
2017,Vietnam,2,2117,SE Asia
2017,Western Samoa,1,341,Islands
2018,Brunei,1,730,SE Asia
2018,Canada,2,2470,N America
2018,Chile,1,1434,S America
2018,China,18,18748,NE Asia
2018,Cook Islands,1,104,Islands
2018,Fiji,2,5927,Islands
2018,Hong Kong (SAR),1,12302,NE Asia
2018,India,1,810,S Asia
2018,Indonesia,2,18569,SE Asia
2018,Japan,2,6570,NE Asia
2018,Malaysia,2,11441,SE Asia
2018,Mauritius,1,272,Africa
2018,Nauru,1,352,Islands
2018,New Caledonia,1,1297,Islands
2018,New Zealand,5,46582,S America
2018,Papua New Guinea,1,3417,Islands
2018,Philippines,1,2938,SE Asia
2018,Qatar,1,4203,Middle East
2018,Singapore,1,25818,SE Asia
2018,Solomon Is.,1,634,Islands
2018,South Africa,1,1331,Africa
2018,South Korea,1,1988,NE Asia
2018,Sri Lanka,1,730,S Asia
2018,Taiwan,1,2503,NE Asia
2018,Thailand,2,6314,SE Asia
2018,Tonga,1,206,Islands
2018,United Arab Emirates,2,13812,Middle East
2018,United Kingdom,1,2736,Europe
2018,United States of America,6,13374,N America
2018,Vanuatu,2,1488,Islands
2018,Vietnam,2,2428,SE Asia
2018,Western Samoa,1,522,Islands
2019,Brunei,1,927,SE Asia
2019,Canada,2,2479,N America
2019,Chile,1,1536,S America
2019,China,19,17693,NE Asia
2019,Cook Islands,1,104,Islands
2019,Fiji,2,5868,Islands
2019,Hong Kong (SAR),1,12118,NE Asia
2019,India,1,834,S Asia
2019,Indonesia,2,19526,SE Asia
2019,Japan,3,6845,NE Asia
2019,Malaysia,2,12299,SE Asia
2019,Mauritius,1,222,Africa
2019,Nauru,1,337,Islands
2019,New Caledonia,1,1536,N America
2019,New Zealand,5,47564,S America
2019,Papua New Guinea,1,3664,Islands
2019,Philippines,1,3430,SE Asia
2019,Qatar,1,4373,Middle East
2019,Singapore,1,26146,SE Asia
2019,Solomon Is.,2,810,Islands
2019,South Africa,1,1338,Africa
2019,South Korea,1,2032,NE Asia
2019,Sri Lanka,1,730,S Asia
2019,Taiwan,1,2395,NE Asia
2019,Thailand,2,5246,SE Asia
2019,Tonga,1,207,Islands
2019,United Arab Emirates,2,11916,Middle East
2019,United Kingdom,1,2882,Europe
2019,United States of America,6,13155,N America
2019,Vanuatu,2,1738,Islands
2019,Vietnam,2,2349,SE Asia
2019,Western Samoa,1,738,Islands
2020,Argentina,1,3,S America
2020,Brunei,1,361,SE Asia
2020,Canada,1,482,N America
2020,Chile,1,385,S America
2020,China,19,2827,NE Asia
2020,Cook Islands,1,23,Islands
2020,Fiji,2,1222,Islands
2020,Hong Kong (SAR),1,2867,NE Asia
2020,India,1,308,S Asia
2020,Indonesia,2,4858,SE Asia
