Australian_City,International_City,Port_Country,Year
Brisbane,Los Angeles,United States of America,2017
Brisbane,Los Angeles,United States of America,2018
Brisbane,Los Angeles,United States of America,2019
Brisbane,Los Angeles,United States of America,2020
Brisbane,Los Angeles,United States of America,2021
Brisbane,Los Angeles,United States of America,2022
Brisbane,Majuro,Marshall Islands,2006
Brisbane,Majuro,Marshall Islands,2007
Brisbane,Manila,Philippines,2003
Brisbane,Manila,Philippines,2004
Brisbane,Manila,Philippines,2005
Brisbane,Manila,Philippines,2006
Brisbane,Manila,Philippines,2007
Brisbane,Manila,Philippines,2008
Brisbane,Manila,Philippines,2009
Brisbane,Manila,Philippines,2010
Brisbane,Manila,Philippines,2011
Brisbane,Manila,Philippines,2012
Brisbane,Manila,Philippines,2013
Brisbane,Manila,Philippines,2014
Brisbane,Manila,Philippines,2015
Brisbane,Manila,Philippines,2016
Brisbane,Manila,Philippines,2017
Brisbane,Manila,Philippines,2018
Brisbane,Manila,Philippines,2019
Brisbane,Manila,Philippines,2020
Brisbane,Manila,Philippines,2021
Brisbane,Manila,Philippines,2022
Brisbane,Medan,Indonesia,2021
Brisbane,Munda,Solomon Is.,2019
Brisbane,Munda,Solomon Is.,2020
Brisbane,Nadi,Fiji,2003
Brisbane,Nadi,Fiji,2004
Brisbane,Nadi,Fiji,2005
Brisbane,Nadi,Fiji,2006
Brisbane,Nadi,Fiji,2007
Brisbane,Nadi,Fiji,2008
Brisbane,Nadi,Fiji,2009
Brisbane,Nadi,Fiji,2010
Brisbane,Nadi,Fiji,2011
Brisbane,Nadi,Fiji,2012
Brisbane,Nadi,Fiji,2013
Brisbane,Nadi,Fiji,2014
Brisbane,Nadi,Fiji,2015
Brisbane,Nadi,Fiji,2016
Brisbane,Nadi,Fiji,2017
Brisbane,Nadi,Fiji,2018
Brisbane,Nadi,Fiji,2019
Brisbane,Nadi,Fiji,2020
Brisbane,Nadi,Fiji,2021
Brisbane,Nadi,Fiji,2022
Brisbane,Nagoya,Japan,2008
Brisbane,Nauru,Nauru,2003
Brisbane,Nauru,Nauru,2004
Brisbane,Nauru,Nauru,2005
Brisbane,Nauru,Nauru,2006
Brisbane,Nauru,Nauru,2007
Brisbane,Nauru,Nauru,2008
Brisbane,Nauru,Nauru,2009
Brisbane,Nauru,Nauru,2010
Brisbane,Nauru,Nauru,2011
Brisbane,Nauru,Nauru,2012
Brisbane,Nauru,Nauru,2013
Brisbane,Nauru,Nauru,2014
Brisbane,Nauru,Nauru,2015
Brisbane,Nauru,Nauru,2016
Brisbane,Nauru,Nauru,2017
Brisbane,Nauru,Nauru,2018
Brisbane,Nauru,Nauru,2019
Brisbane,Nauru,Nauru,2020
Brisbane,Nauru,Nauru,2021
Brisbane,Nauru,Nauru,2022
Brisbane,New Delhi,India,2020
Brisbane,New Delhi,India,2021
Brisbane,New York,United States of America,2003
Brisbane,New York,United States of America,2005
Brisbane,New York,United States of America,2006
Brisbane,New York,United States of America,2007
Brisbane,New York,United States of America,2008
Brisbane,New York,United States of America,2009
Brisbane,New York,United States of America,2010
Brisbane,New York,United States of America,2011
Brisbane,New York,United States of America,2012
Brisbane,New York,United States of America,2013
Brisbane,New York,United States of America,2014
Brisbane,New York,United States of America,2015
Brisbane,New York,United States of America,2016
Brisbane,New York,United States of America,2019
Brisbane,Noumea,New Caledonia,2003
Brisbane,Noumea,New Caledonia,2004
Brisbane,Noumea,New Caledonia,2005
Brisbane,Noumea,New Caledonia,2006
Brisbane,Noumea,New Caledonia,2007
Brisbane,Noumea,New Caledonia,2008
Brisbane,Noumea,New Caledonia,2009
Brisbane,Noumea,New Caledonia,2010
Brisbane,Noumea,New Caledonia,2011
Brisbane,Noumea,New Caledonia,2012
Brisbane,Noumea,New Caledonia,2013
Brisbane,Noumea,New Caledonia,2014
Brisbane,Noumea,New Caledonia,2015
Brisbane,Noumea,New Caledonia,2016
Brisbane,Noumea,New Caledonia,2017
Brisbane,Noumea,New Caledonia,2018
Brisbane,Noumea,New Caledonia,2019
Brisbane,Noumea,New Caledonia,2020
Brisbane,Noumea,New Caledonia,2022
Brisbane,Osaka,Japan,2003
Brisbane,Osaka,Japan,2004
Brisbane,Osaka,Japan,2005
Brisbane,Osaka,Japan,2006
Brisbane,Osaka,Japan,2007
Brisbane,Osaka,Japan,2008
Brisbane,Osaka,Japan,2010
Brisbane,Osaka,Japan,2011
Brisbane,Osaka,Japan,2012
Brisbane,Osaka,Japan,2013
Brisbane,Palmerston,New Zealand,2003
Brisbane,Palmerston,New Zealand,2004
Brisbane,Palmerston,New Zealand,2005
Brisbane,Palmerston,New Zealand,2006
Brisbane,Palmerston,New Zealand,2007
Brisbane,Palmerston,New Zealand,2008
Brisbane,Penang,Malaysia,2008
Brisbane,PhUnited Kingdomet,Thailand,2009
Brisbane,PhUnited Kingdomet,Thailand,2010
Brisbane,PhUnited Kingdomet,Thailand,2011
Brisbane,PhUnited Kingdomet,Thailand,2012
Brisbane,Port Moresby,Papua New Guinea,2003
Brisbane,Port Moresby,Papua New Guinea,2004
Brisbane,Port Moresby,Papua New Guinea,2005
Brisbane,Port Moresby,Papua New Guinea,2006
Brisbane,Port Moresby,Papua New Guinea,2007
Brisbane,Port Moresby,Papua New Guinea,2008
Brisbane,Port Moresby,Papua New Guinea,2009
Brisbane,Port Moresby,Papua New Guinea,2010
Brisbane,Port Moresby,Papua New Guinea,2011
Brisbane,Port Moresby,Papua New Guinea,2012
Brisbane,Port Moresby,Papua New Guinea,2013
Brisbane,Port Moresby,Papua New Guinea,2014
Brisbane,Port Moresby,Papua New Guinea,2015
Brisbane,Port Moresby,Papua New Guinea,2016
Brisbane,Port Moresby,Papua New Guinea,2017
Brisbane,Port Moresby,Papua New Guinea,2018
Brisbane,Port Moresby,Papua New Guinea,2019
Brisbane,Port Moresby,Papua New Guinea,2020
Brisbane,Port Moresby,Papua New Guinea,2021
Brisbane,Port Moresby,Papua New Guinea,2022
Brisbane,Port Vila,Vanuatu,2003
Brisbane,Port Vila,Vanuatu,2004
Brisbane,Port Vila,Vanuatu,2005
Brisbane,Port Vila,Vanuatu,2006
Brisbane,Port Vila,Vanuatu,2007
Brisbane,Port Vila,Vanuatu,2008
Brisbane,Port Vila,Vanuatu,2009
Brisbane,Port Vila,Vanuatu,2010
Brisbane,Port Vila,Vanuatu,2011
Brisbane,Port Vila,Vanuatu,2012
Brisbane,Port Vila,Vanuatu,2013
Brisbane,Port Vila,Vanuatu,2014
Brisbane,Port Vila,Vanuatu,2015
Brisbane,Port Vila,Vanuatu,2016
Brisbane,Port Vila,Vanuatu,2017
Brisbane,Port Vila,Vanuatu,2018
Brisbane,Port Vila,Vanuatu,2019
Brisbane,Port Vila,Vanuatu,2020
Brisbane,Port Vila,Vanuatu,2021
Brisbane,Port Vila,Vanuatu,2022
Brisbane,Queenstown,New Zealand,2003
Brisbane,Queenstown,New Zealand,2004
Brisbane,Queenstown,New Zealand,2005
Brisbane,Queenstown,New Zealand,2006
Brisbane,Queenstown,New Zealand,2007
Brisbane,Queenstown,New Zealand,2008
Brisbane,Queenstown,New Zealand,2009
Brisbane,Queenstown,New Zealand,2010
Brisbane,Queenstown,New Zealand,2011
Brisbane,Queenstown,New Zealand,2012
Brisbane,Queenstown,New Zealand,2013
Brisbane,Queenstown,New Zealand,2014
